OTU_ID	dietH_group1_animal1_day+01_plate1	dietH_group1_animal1_day+02_plate2	dietH_group1_animal1_day+03_plate1	dietH_group1_animal1_day+14_plate2	dietH_group1_animal1_day-01_plate1	dietH_group1_animal1_day-02_plate1	dietH_group1_animal2_day+01_plate2	dietH_group1_animal2_day+02_plate2	dietH_group1_animal2_day+03_plate1	dietH_group1_animal2_day+14_plate1	dietH_group1_animal2_day-01_plate2	dietH_group1_animal2_day-02_plate1	dietH_group1_animal3_day+01_plate2	dietH_group1_animal3_day+02_plate2	dietH_group1_animal3_day+03_plate1	dietH_group1_animal3_day+14_plate2	dietH_group1_animal3_day-01_plate2	dietH_group1_animal3_day-02_plate1	dietH_group1_animal6_day+01_plate2	dietH_group1_animal6_day+02_plate1	dietH_group1_animal6_day+03_plate2	dietH_group1_animal6_day+14_plate2	dietH_group1_animal6_day-01_plate1	dietH_group1_animal6_day-02_plate1	dietH_group2_animal1_day+01_plate1	dietH_group2_animal1_day+02_plate2	dietH_group2_animal1_day+03_plate1	dietH_group2_animal1_day+14_plate2	dietH_group2_animal1_day+15_plate2	dietH_group2_animal1_day+16_plate2	dietH_group2_animal1_day+17_plate1	dietH_group2_animal1_day+19_plate2	dietH_group2_animal1_day+22_plate2	dietH_group2_animal1_day+28_plate1	dietH_group2_animal1_day-01_plate1	dietH_group2_animal1_day-02_plate1	dietH_group2_animal2_day+01_plate1	dietH_group2_animal2_day+02_plate2	dietH_group2_animal2_day+03_plate1	dietH_group2_animal2_day+14_plate2	dietH_group2_animal2_day+15_plate1	dietH_group2_animal2_day+16_plate1	dietH_group2_animal2_day+17_plate1	dietH_group2_animal2_day+19_plate1	dietH_group2_animal2_day+22_plate2	dietH_group2_animal2_day+28_plate2	dietH_group2_animal2_day-01_plate1	dietH_group2_animal2_day-02_plate1	dietH_group2_animal3_day+01_plate1	dietH_group2_animal3_day+02_plate1	dietH_group2_animal3_day+03_plate1	dietH_group2_animal3_day+14_plate1	dietH_group2_animal3_day+15_plate2	dietH_group2_animal3_day+16_plate1	dietH_group2_animal3_day+17_plate2	dietH_group2_animal3_day+19_plate2	dietH_group2_animal3_day+22_plate1	dietH_group2_animal3_day+28_plate1	dietH_group2_animal3_day-01_plate1	dietH_group2_animal3_day-02_plate1	dietH_group2_animal4_day+01_plate2	dietH_group2_animal4_day+02_plate2	dietH_group2_animal4_day+03_plate1	dietH_group2_animal4_day+14_plate2	dietH_group2_animal4_day+15_plate1	dietH_group2_animal4_day+16_plate1	dietH_group2_animal4_day+17_plate1	dietH_group2_animal4_day+19_plate1	dietH_group2_animal4_day+22_plate1	dietH_group2_animal4_day+28_plate2	dietH_group2_animal4_day-01_plate1	dietH_group2_animal4_day-02_plate2	dietH_group2_animal5_day+01_plate2	dietH_group2_animal5_day+02_plate2	dietH_group2_animal5_day+03_plate1	dietH_group2_animal5_day+14_plate1	dietH_group2_animal5_day+15_plate2	dietH_group2_animal5_day+16_plate2	dietH_group2_animal5_day+17_plate2	dietH_group2_animal5_day+19_plate2	dietH_group2_animal5_day+22_plate2	dietH_group2_animal5_day+28_plate2	dietH_group2_animal5_day-01_plate1	dietH_group2_animal5_day-02_plate2	dietH_group2_animal6_day+01_plate1	dietH_group2_animal6_day+02_plate1	dietH_group2_animal6_day+03_plate2	dietH_group2_animal6_day+14_plate2	dietH_group2_animal6_day+15_plate1	dietH_group2_animal6_day+16_plate2	dietH_group2_animal6_day+17_plate1	dietH_group2_animal6_day+19_plate2	dietH_group2_animal6_day+22_plate2	dietH_group2_animal6_day+28_plate2	dietH_group2_animal6_day-01_plate2	dietH_group2_animal6_day-02_plate1	dietH_group2_animal7_day+01_plate2	dietH_group2_animal7_day+02_plate2	dietH_group2_animal7_day+03_plate2	dietH_group2_animal7_day+14_plate2	dietH_group2_animal7_day+15_plate1	dietH_group2_animal7_day+16_plate2	dietH_group2_animal7_day+17_plate1	dietH_group2_animal7_day+19_plate2	dietH_group2_animal7_day+22_plate2	dietH_group2_animal7_day+28_plate1	dietH_group2_animal7_day-01_plate2	dietH_group2_animal7_day-02_plate2	dietH_group2_animal8_day+01_plate2	dietH_group2_animal8_day+02_plate1	dietH_group2_animal8_day+03_plate2	dietH_group2_animal8_day+14_plate2	dietH_group2_animal8_day+15_plate2	dietH_group2_animal8_day+16_plate2	dietH_group2_animal8_day+17_plate2	dietH_group2_animal8_day+19_plate1	dietH_group2_animal8_day+22_plate2	dietH_group2_animal8_day-01_plate2	dietH_group2_animal8_day-02_plate2	dietN_group1_animal1_day+14_plate1	dietN_group1_animal1_day-01_plate2	dietN_group1_animal2_day+14_plate2	dietN_group1_animal2_day-01_plate1	dietN_group1_animal3_day+14_plate1	dietN_group1_animal3_day-01_plate1	dietN_group1_animal4_day+14_plate2	dietN_group1_animal4_day-01_plate1	dietN_group1_animal5_day+14_plate1	dietN_group1_animal5_day-01_plate1	dietN_group1_animal6_day+14_plate1	dietN_group1_animal6_day-01_plate1	dietN_group1_animal7_day+14_plate2	dietN_group1_animal7_day-01_plate1	dietN_group2_animal1_day+14_plate2	dietN_group2_animal1_day-01_plate1
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor	101	148	437	21	1909	212	321	444	182	1095	98	1670	97	749	31	0	70	55	33	438	111	880	2385	5202	0	111	31	36	205	115	199	38	4053	31	220	400	132	19	6990	20	335	4	8	171	233	11	176	8182	317	8147	108	53	82	81	311	111	63	3713	151	2833	100	206	126	89	562	7853	49	47	157	31	18	47	237	7080	472	5	86	156	119	254	18	1947	149	35	2	199	115	94	6598	976	3302	75	13	38	7548	134	5	75	44	1509	4068	26	36	49	45	38	90	49	164	93	3256	2472	64	66	97	24	0	115	72	180	91	7503	197	2941	0	17	1160	29	5183	40	181	32	27	249	601
Root;Bacteria	180	76	94	61	882	486	90	121	255	291	149	5154	11	844	17	49	20	15	21	150	22	3172	2806	30634	0	50	24	117	169	64	242	46	2443	34	101	275	14	5	1515	48	601	6	11	127	49	37	27	4537	157	4976	61	209	44	25	71	82	40	519	186	2065	86	108	1062	36	491	6486	54	154	21	9	80	267	47	10185	752	78	77	126	70	240	48	2143	49	49	30	221	91	58	7175	5370	7136	159	34	68	9940	99	129	82	59	4136	3862	103	233	104	175	37	91	114	46	57	3360	724	65	124	201	42	8	17	68	17	125	792	71	810	2	8	4330	32	514	24	16	111	5	158	25
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter	46	135	349	26	1819	147	278	203	166	917	65	935	164	2054	41	10	106	77	79	514	89	1268	2542	7774	0	225	59	26	169	137	422	61	3299	32	118	278	97	16	4309	29	198	3	7	121	258	35	157	3043	334	4164	71	41	42	39	214	55	97	2190	159	858	86	167	369	90	207	7256	78	140	165	25	18	55	188	4296	389	7	59	118	132	183	29	2172	66	29	4	174	70	63	5961	1666	3684	140	89	105	3515	45	30	61	36	1615	2606	56	84	81	58	45	68	86	134	80	2389	2053	41	91	168	47	2	79	67	252	171	5444	366	3634	0	24	2307	65	6722	36	223	243	93	167	179
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Clostridium_IV	37	37	109	2	601	72	65	42	21	857	53	1735	53	1489	34	16	114	133	7	120	32	2326	565	1788	0	36	33	19	74	25	88	17	2147	15	25	139	36	1	1654	7	103	0	2	77	118	37	86	1177	37	871	27	35	36	33	82	35	39	694	36	1013	10	28	117	62	231	3647	33	21	111	10	10	34	29	1191	209	13	37	47	28	108	16	663	29	14	106	61	56	14	3252	286	1808	83	35	15	4021	66	36	11	14	621	2043	9	25	22	33	69	34	17	53	35	2929	1674	11	54	76	28	0	53	69	145	16	2238	48	4132	0	36	823	60	1150	16	51	225	190	68	118
Root;Bacteria;Firmicutes	20	11	18	31	111	34	16	6	17	61	25	427	7	273	3	12	17	9	8	32	12	355	197	1255	0	29	8	37	126	81	128	12	482	22	37	78	62	15	500	8	171	5	9	40	17	22	25	761	17	933	10	4	34	12	39	35	26	524	24	284	31	83	683	61	66	2796	25	40	7	5	75	44	20	3148	209	55	90	19	15	54	17	5870	7	12	18	69	21	29	4402	2816	2218	33	11	86	4100	11	59	6	16	566	847	92	62	18	34	51	34	51	29	33	733	408	13	22	48	10	9	21	21	50	29	204	29	1616	0	6	652	35	1179	36	37	3570	61	31	109
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_XlVb	8	43	67	30	229	46	97	69	74	182	24	375	11	1016	9	8	37	26	13	82	13	443	176	2521	0	51	11	20	63	66	122	11	725	8	33	56	47	8	663	6	96	2	6	24	71	10	24	807	53	820	37	10	18	27	78	29	33	1305	30	140	20	58	255	43	93	1459	16	20	19	22	18	25	119	1305	307	6	28	28	40	58	17	1334	29	15	9	38	20	78	1885	796	970	44	27	73	2817	66	14	22	15	482	1074	36	26	13	53	7	11	40	129	54	1896	1314	15	34	66	37	4	51	43	29	34	3663	61	184	0	8	893	9	999	8	45	216	30	56	28
Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	0	0	0	4	0	0	0	0	0	1873	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	335	108	172	860	23	117	3	0	0	0	0	0	32	183	10	14	5	18	25	0	1	0	6	0	71	15	29	30	45	0	1	2	149	0	0	0	125	17	2682	1	2	0	2	0	0	0	44	1	35	2	23	7	0	0	0	2	6	0	0	0	1	1097	262	48	0	59	1	3	0	0	0	0	3342	0	67	46	12	0	0	0	0	0	0	1	0	17	0	0	0	15	0	1	0	0	0	0	1	0	0	9	0	0	22	0	1	0	0	0
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor	3	26	66	0	262	20	26	34	24	63	13	156	10	92	13	0	15	47	7	33	15	247	224	633	0	21	4	10	68	42	92	8	427	5	21	111	12	2	386	2	32	1	1	18	52	5	9	298	32	625	13	8	4	10	75	24	10	526	16	235	11	22	15	11	41	699	3	20	25	1	4	9	27	415	36	2	16	23	29	56	7	510	6	3	0	23	11	5	321	362	488	8	6	14	1574	30	1	7	2	61	208	3	5	4	18	10	9	6	68	36	1195	171	6	10	19	4	0	92	61	73	13	1360	25	921	0	6	160	20	1476	9	40	26	18	29	25
Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella	1	0	0	6	31	0	0	2	1	12	1	123	4	404	6	0	2	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	615	9	20	22	6	0	28	11	17	1	0	4	0	2	5	509	1	7	1	1	0	0	0	4	18	5	9	27	1	0	15	0	1	21	1	1	0	13	1	54	0	17	5	1	1	1	0	0	2	294	3	2	2	1	6	0	89	174	150	0	123	9	87	27	6	5	0	79	19	11	18	3	12	1	178	119	5	8	794	54	0	0	1	0	0	13	5	5	13	39	6	536	0	0	45	7	83	6	57	185	26	2	3
Root;Bacteria;Candidatus_Saccharibacteria	3	41	69	72	135	7	22	14	45	119	52	814	7	867	30	37	8	23	21	136	4	1182	492	1583	0	23	3	66	29	10	13	5	807	2	7	9	0	2	149	14	33	8	2	7	38	20	3	45	14	660	12	29	0	4	3	13	5	71	9	44	2	20	62	84	4	58	1	4	9	2	22	12	11	1949	165	3	21	2	1	16	3	27	3	12	55	7	27	9	178	363	346	8	43	15	343	6	6	11	14	132	351	27	5	25	9	9	11	18	47	8	1354	962	11	5	8	7	4	82	221	1	4	18	73	521	0	1	311	8	970	6	8	833	29	8	55
