OTU_ID	dietH_group1_animal1_day+01_plate1	dietH_group1_animal1_day+02_plate2	dietH_group1_animal1_day+03_plate1	dietH_group1_animal1_day+14_plate2	dietH_group1_animal1_day-01_plate1	dietH_group1_animal1_day-02_plate1	dietH_group1_animal2_day+01_plate2	dietH_group1_animal2_day+02_plate2	dietH_group1_animal2_day+03_plate1	dietH_group1_animal2_day+14_plate1	dietH_group1_animal2_day-01_plate2	dietH_group1_animal2_day-02_plate1	dietH_group1_animal3_day+01_plate2	dietH_group1_animal3_day+02_plate2	dietH_group1_animal3_day+03_plate1	dietH_group1_animal3_day+14_plate2	dietH_group1_animal3_day-01_plate2	dietH_group1_animal3_day-02_plate1	dietH_group1_animal6_day+01_plate2	dietH_group1_animal6_day+02_plate1	dietH_group1_animal6_day+03_plate2	dietH_group1_animal6_day+14_plate2	dietH_group1_animal6_day-01_plate1	dietH_group1_animal6_day-02_plate1	dietH_group2_animal1_day+01_plate1	dietH_group2_animal1_day+02_plate2	dietH_group2_animal1_day+03_plate1	dietH_group2_animal1_day+14_plate2	dietH_group2_animal1_day+15_plate2	dietH_group2_animal1_day+16_plate2	dietH_group2_animal1_day+17_plate1	dietH_group2_animal1_day+19_plate2	dietH_group2_animal1_day+22_plate2	dietH_group2_animal1_day+28_plate1	dietH_group2_animal1_day-01_plate1	dietH_group2_animal1_day-02_plate1	dietH_group2_animal2_day+01_plate1	dietH_group2_animal2_day+02_plate2	dietH_group2_animal2_day+03_plate1	dietH_group2_animal2_day+14_plate2	dietH_group2_animal2_day+15_plate1	dietH_group2_animal2_day+16_plate1	dietH_group2_animal2_day+17_plate1	dietH_group2_animal2_day+19_plate1	dietH_group2_animal2_day+22_plate2	dietH_group2_animal2_day+28_plate2	dietH_group2_animal2_day-01_plate1	dietH_group2_animal2_day-02_plate1	dietH_group2_animal3_day+01_plate1	dietH_group2_animal3_day+02_plate1	dietH_group2_animal3_day+03_plate1	dietH_group2_animal3_day+14_plate1	dietH_group2_animal3_day+15_plate2	dietH_group2_animal3_day+16_plate1	dietH_group2_animal3_day+17_plate2	dietH_group2_animal3_day+19_plate2	dietH_group2_animal3_day+22_plate1	dietH_group2_animal3_day+28_plate1	dietH_group2_animal3_day-01_plate1	dietH_group2_animal3_day-02_plate1	dietH_group2_animal4_day+01_plate2	dietH_group2_animal4_day+02_plate2	dietH_group2_animal4_day+03_plate1	dietH_group2_animal4_day+14_plate2	dietH_group2_animal4_day+15_plate1	dietH_group2_animal4_day+16_plate1	dietH_group2_animal4_day+17_plate1	dietH_group2_animal4_day+19_plate1	dietH_group2_animal4_day+22_plate1	dietH_group2_animal4_day+28_plate2	dietH_group2_animal4_day-01_plate1	dietH_group2_animal4_day-02_plate2	dietH_group2_animal5_day+01_plate2	dietH_group2_animal5_day+02_plate2	dietH_group2_animal5_day+03_plate1	dietH_group2_animal5_day+14_plate1	dietH_group2_animal5_day+15_plate2	dietH_group2_animal5_day+16_plate2	dietH_group2_animal5_day+17_plate2	dietH_group2_animal5_day+19_plate2	dietH_group2_animal5_day+22_plate2	dietH_group2_animal5_day+28_plate2	dietH_group2_animal5_day-01_plate1	dietH_group2_animal5_day-02_plate2	dietH_group2_animal6_day+01_plate1	dietH_group2_animal6_day+02_plate1	dietH_group2_animal6_day+03_plate2	dietH_group2_animal6_day+14_plate2	dietH_group2_animal6_day+15_plate1	dietH_group2_animal6_day+16_plate2	dietH_group2_animal6_day+17_plate1	dietH_group2_animal6_day+19_plate2	dietH_group2_animal6_day+22_plate2	dietH_group2_animal6_day+28_plate2	dietH_group2_animal6_day-01_plate2	dietH_group2_animal6_day-02_plate1	dietH_group2_animal7_day+01_plate2	dietH_group2_animal7_day+02_plate2	dietH_group2_animal7_day+03_plate2	dietH_group2_animal7_day+14_plate2	dietH_group2_animal7_day+15_plate1	dietH_group2_animal7_day+16_plate2	dietH_group2_animal7_day+17_plate1	dietH_group2_animal7_day+19_plate2	dietH_group2_animal7_day+22_plate2	dietH_group2_animal7_day+28_plate1	dietH_group2_animal7_day-01_plate2	dietH_group2_animal7_day-02_plate2	dietH_group2_animal8_day+01_plate2	dietH_group2_animal8_day+02_plate1	dietH_group2_animal8_day+03_plate2	dietH_group2_animal8_day+14_plate2	dietH_group2_animal8_day+15_plate2	dietH_group2_animal8_day+16_plate2	dietH_group2_animal8_day+17_plate2	dietH_group2_animal8_day+19_plate1	dietH_group2_animal8_day+22_plate2	dietH_group2_animal8_day-01_plate2	dietH_group2_animal8_day-02_plate2	dietN_group1_animal1_day+14_plate1	dietN_group1_animal1_day-01_plate2	dietN_group1_animal2_day+14_plate2	dietN_group1_animal2_day-01_plate1	dietN_group1_animal3_day+14_plate1	dietN_group1_animal3_day-01_plate1	dietN_group1_animal4_day+14_plate2	dietN_group1_animal4_day-01_plate1	dietN_group1_animal5_day+14_plate1	dietN_group1_animal5_day-01_plate1	dietN_group1_animal6_day+14_plate1	dietN_group1_animal6_day-01_plate1	dietN_group1_animal7_day+14_plate2	dietN_group1_animal7_day-01_plate1	dietN_group2_animal1_day+14_plate2	dietN_group2_animal1_day-01_plate1
Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas	2	3	10	14	32	15	1	3	11	69	2	91	13	592	125	35	5	10	2	10	1	507	66	220	0	6	37	7	1	3	22	1	192	57	5	32	14	2	1357	5	25	37	85	17	14	14	9	102	91	324	2	12	0	1	2	11	7	102	149	76	4	10	1661	17	17	279	46	2	94	13	22	14	1	397	74	13	2	5	2	6	3	464	98	6	36	11	12	0	162	216	282	3	27	32	313	12	5	2	3	148	62	1	5	4	5	17	3	20	5	5	449	312	1	1	4	64	13	4	17	20	2	352	4	545	54	22	260	12	321	11	9	1380	11	8	12
Root;Bacteria;Firmicutes;Clostridia	5	9	36	1	79	11	10	9	11	54	2	144	10	209	8	6	9	9	2	17	2	368	117	848	0	7	2	6	13	28	38	3	278	7	12	29	11	0	271	6	32	3	3	4	41	6	6	253	9	173	5	18	4	3	20	1	10	398	7	103	5	16	105	12	33	458	7	8	12	4	6	6	10	318	32	0	5	9	5	10	4	586	10	5	8	17	8	6	1283	169	208	6	15	18	957	29	5	8	3	99	281	14	14	3	9	10	7	21	14	9	266	257	3	10	14	12	0	8	31	18	8	483	11	855	0	13	329	22	636	7	16	188	13	15	23
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium_XlVa	8	12	33	10	191	11	21	16	8	39	10	151	27	598	9	2	19	37	4	25	7	441	175	652	0	2	4	0	6	5	7	0	281	1	3	13	8	0	233	3	20	0	0	7	45	2	8	194	16	178	4	8	0	2	12	5	5	148	4	24	2	4	33	3	11	140	5	3	27	6	5	0	5	81	6	1	2	3	5	7	0	279	2	0	58	21	7	3	120	152	292	11	2	4	764	26	1	7	5	17	52	0	0	1	6	3	4	18	2	4	113	101	3	3	8	2	0	4	9	11	11	468	17	521	0	18	116	37	2134	1	9	62	3	26	13
Root;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansia	0	1	1	18	1	0	0	0	9	1431	1	27	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	2	8	0	6751	102	0	1	0	0	38	185	5524	278	160	155	2	2	0	27	2	56	0	3	0	0	0	4	0	13	0	27	1	4	21	4	5	89	1	1	0	0	2	1	0	29	5	3	1	1	1	0	0	38	0	1	0	3	0	0	161	34	88	0	0	0	29	2	0	0	0	569	18	3	2	0	0	0	0	0	0	0	3	4	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	11	0	2	4	62	26	1	2	8	13	8	466	3	127	0	1	5	13	1	3	2	40	100	257	0	5	0	0	2	1	25	3	375	6	15	186	2	0	96	3	35	2	6	22	1	6	16	526	7	30	2	1	3	1	2	8	48	236	19	148	4	10	8	1	74	422	9	0	29	76	107	24	0	9	0	24	16	58	16	18	10	247	7	7	4	2	1	0	523	109	648	6	95	30	266	30	14	3	0	163	387	22	15	16	86	19	89	148	2	0	8	57	3	38	24	8	26	26	18	30	5	527	32	271	0	13	1377	40	1509	8	11	1711	33	9	21
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia	3	6	6	7	23	16	4	6	21	81	6	177	1	583	5	12	3	9	4	33	5	193	72	610	0	0	0	3	4	1	15	3	107	3	9	13	2	0	136	2	6	2	1	4	4	3	5	157	3	175	0	4	8	9	1	1	1	129	10	79	2	14	150	5	19	732	3	7	0	14	32	5	0	172	13	8	9	7	0	6	5	1011	13	6	11	23	6	3	119	464	890	5	2	1	703	12	6	1	3	113	150	5	6	0	8	8	2	5	7	6	120	106	2	3	6	3	3	2	10	6	2	28	7	306	0	4	176	13	343	8	20	151	25	14	4
Root;Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Enterorhabdus	4	2	14	6	26	5	2	3	18	56	6	445	1	244	14	10	1	7	1	7	1	249	33	227	0	0	4	9	2	4	93	2	90	8	7	26	3	0	199	6	30	4	4	6	6	7	7	268	3	163	5	27	0	17	2	9	35	131	12	174	5	8	181	3	21	286	3	13	14	9	18	2	0	226	67	33	3	1	1	3	4	229	9	4	28	5	3	0	443	67	364	1	25	6	207	16	7	5	4	80	67	6	13	3	8	20	2	5	4	5	259	104	0	0	3	8	12	3	5	15	0	101	11	612	0	0	660	9	405	13	14	203	30	3	24
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Johnsonella	5	9	38	0	61	4	8	8	6	55	0	20	1	50	0	2	3	3	1	76	13	174	283	644	0	7	4	1	5	4	24	3	14	0	13	62	3	0	132	0	3	0	0	0	5	0	8	167	14	135	5	0	0	0	1	0	2	15	7	49	0	1	3	1	40	57	1	1	35	1	0	4	4	22	12	0	0	12	7	20	0	205	0	0	0	14	6	0	107	92	528	7	2	2	101	2	0	0	0	4	85	3	3	2	10	7	0	0	1	6	113	34	0	3	10	9	0	4	6	23	2	398	0	854	0	5	82	2	680	1	37	2	6	10	5
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	0	6	25	1	41	4	4	6	11	57	6	49	6	199	3	7	4	5	3	11	2	209	85	240	0	2	0	5	13	6	10	2	106	1	8	15	5	0	125	3	7	0	4	7	13	2	9	122	9	143	3	7	2	1	9	6	5	161	5	23	1	6	56	3	25	405	2	3	7	3	1	1	4	158	20	8	1	7	3	7	0	183	6	1	88	9	8	4	313	23	165	2	4	8	666	10	2	6	2	39	190	3	1	2	4	2	5	6	9	7	179	149	2	2	13	3	2	5	7	3	4	277	7	330	0	6	42	5	451	6	8	98	12	15	11
Root;Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum	1	9	1	1	12	0	0	1	0	65	0	60	0	0	0	0	1	0	0	0	0	0	28	18	0	14	0	0	9	228	15	3	35	0	6	9	3	0	8	1	11	0	1	3	108	0	0	85	31	28	75	10	2	0	175	9	5	20	9	50	0	11	0	3	6	128	3	3	87	8	0	0	2	10	1	0	3	13	4	1	0	640	4	1	0	0	1	0	20	178	289	3	0	1	163	4	0	1	10	11	48	4	3	2	1	6	2	2	0	0	15	11	0	5	370	1	0	2	52	0	11	4	212	6	0	0	12	2	239	1	0	1	0	0	20
Root;Bacteria;Bacteroidetes	14	7	4	2	64	6	10	6	7	35	3	75	8	453	0	1	6	0	4	8	4	84	9	148	0	4	2	3	2	8	11	0	99	1	6	8	2	1	132	3	23	0	0	4	1	3	2	128	0	199	2	8	2	0	6	11	12	259	4	80	6	4	76	3	14	207	1	11	0	6	0	1	6	236	18	3	3	2	0	5	6	323	1	2	11	11	14	6	231	154	313	4	3	4	289	9	4	3	2	314	71	10	11	0	4	1	4	3	9	18	121	126	4	2	5	0	0	1	0	7	10	93	8	171	0	1	149	15	128	3	6	147	15	4	5
Root;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella	1	0	2	1	3	2	0	0	2	17	1	17	3	139	33	6	0	4	1	2	2	140	19	67	0	2	13	1	1	0	8	0	50	10	1	8	8	0	361	0	2	9	21	0	2	3	2	26	19	88	3	3	0	0	0	2	3	27	31	20	0	2	501	3	6	66	15	2	22	5	2	7	1	91	19	1	0	2	0	2	0	96	23	4	9	2	5	0	38	65	79	1	13	11	90	2	2	0	4	37	9	0	1	0	2	5	1	6	3	0	115	62	0	0	0	8	7	1	6	8	0	91	2	111	15	3	75	5	66	1	1	400	8	1	1
Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Proteus	0	0	0	1	0	3	2	0	2	17	5	47	0	79	0	2	0	0	0	1	0	40	2	10	0	0	3	2	0	1	0	0	40	0	8	21	3	0	42	2	2	0	0	4	0	2	0	16	0	0	0	0	0	0	0	0	1	31	4	2	0	0	140	2	0	2	0	0	3	11	2	11	1	2	6	3	1	0	0	0	1	143	0	2	0	0	0	0	10	4	13	1	19	1	16	0	2	1	0	39	7	1	1	2	0	8	0	2	0	1	189	57	0	0	1	0	0	0	2	1	0	147	0	1	0	7	142	0	10	1	4	202	6	3	1
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium	1	0	0	3	12	1	1	0	0	11	1	34	1	47	0	1	1	1	1	12	2	113	21	98	0	1	1	4	3	0	1	2	27	0	0	1	0	1	54	2	4	0	0	0	0	0	0	35	1	35	0	2	0	3	1	3	0	34	2	15	1	0	32	3	5	76	1	0	1	4	0	1	0	93	15	0	1	2	0	1	0	82	0	0	1	6	3	0	51	31	38	0	3	1	88	0	0	0	0	41	59	0	0	0	4	2	3	1	1	0	26	113	0	0	1	0	0	1	10	5	1	70	4	116	0	0	52	3	75	2	1	52	4	5	1
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiracea_incertae_sedis	0	2	4	0	25	18	1	8	0	5	2	12	0	21	1	0	1	0	0	5	1	33	22	41	0	0	0	0	0	0	1	2	12	0	1	1	2	0	30	0	0	0	0	3	1	0	0	21	1	49	2	0	1	0	1	1	6	48	1	9	1	4	6	0	0	148	0	2	5	0	0	0	2	58	9	0	1	4	0	5	0	92	1	0	1	0	0	1	64	7	26	2	0	0	103	2	0	1	1	4	18	0	0	2	0	7	0	2	2	2	28	14	0	0	0	0	0	1	4	2	0	302	2	48	0	3	14	2	74	4	1	14	3	3	1
Root;Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae	0	0	3	0	11	1	2	0	2	2	2	39	1	16	0	1	0	3	0	2	0	25	21	257	0	1	0	1	3	1	28	1	37	0	0	0	1	0	20	2	7	6	3	2	2	1	0	13	1	25	0	6	0	0	2	2	11	10	1	14	0	1	26	0	10	48	1	1	2	1	0	0	0	21	15	4	0	0	0	0	0	45	0	0	1	0	2	0	21	6	24	0	2	3	6	0	0	0	0	4	8	2	0	0	3	2	0	1	0	1	57	10	1	0	2	3	0	0	0	0	0	2	0	162	0	0	245	1	33	0	3	19	1	0	0
Root;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Clostridium_XVIII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Allobaculum	1	0	0	0	17	29	0	0	1	17	1	71	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	2	4	22	0	71	3	2	2	0	0	0	2	4	1	2	3	5	1	0	58	2	20	0	1	0	11	1	1	0	0	6	59	0	0	0	0	0	0	0	0	3	0	0	0	1	14	0	1	0	0	0	0	0	0	2	0	0	0	0	0	26	0	0	0	2	1	0	0	0	0	0	8	0	1	6	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	543	0	25	5	0	0	3	0	0
Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0	0	0	1	2	0	0	0	1	1	1	155	2	21	2	0	0	1	0	1	0	1	4	9	0	1	1	0	1	0	0	0	11	0	0	12	0	0	4	0	0	0	0	2	1	1	0	8	0	6	0	0	1	0	1	0	2	12	0	4	0	0	20	0	0	56	1	2	0	3	1	4	0	5	3	4	0	0	0	0	2	28	0	0	0	0	0	0	34	10	49	0	2	3	6	0	0	0	0	9	9	0	2	1	1	7	2	11	1	0	35	13	1	1	0	0	0	1	3	1	0	34	4	3	0	0	46	1	34	1	2	275	8	0	1
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus	0	0	1	0	1	1	0	1	1	3	0	0	0	4	0	0	0	0	0	0	0	37	3	14	0	0	0	0	1	2	2	0	4	0	0	0	0	0	5	0	0	0	0	0	2	1	0	3	1	6	0	0	0	0	1	0	0	15	1	2	0	0	4	0	0	20	0	0	0	0	0	0	1	44	0	1	0	0	0	0	0	60	1	0	0	1	2	1	12	9	10	0	0	0	51	0	0	0	0	31	4	2	0	1	0	0	0	0	1	0	16	13	0	0	2	0	0	1	0	0	0	46	0	25	0	0	4	0	10	0	0	18	0	1	1
Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0	0	3	0	4	1	0	0	0	3	0	14	0	11	1	0	0	2	0	0	0	6	3	13	0	0	0	0	1	0	2	0	16	0	0	2	1	0	17	0	0	1	0	0	0	0	0	8	0	4	0	2	0	0	0	0	2	2	1	2	1	0	73	0	1	7	0	0	0	1	3	2	0	13	3	1	0	0	0	0	0	23	0	1	2	0	0	0	2	14	17	0	0	1	10	0	0	0	1	2	2	0	0	0	0	0	0	3	0	0	17	3	0	0	1	0	0	0	0	0	0	15	3	60	0	0	25	0	19	0	0	21	2	0	0
Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia	0	0	1	0	2	0	2	0	2	2	1	13	2	13	0	0	0	0	1	0	1	0	3	7	0	0	0	0	0	0	0	0	5	0	1	1	1	0	15	0	2	0	0	0	0	0	0	6	0	2	1	0	0	0	0	0	4	14	0	3	0	2	22	0	0	16	0	1	0	0	3	1	1	5	0	0	0	0	0	0	1	23	0	0	0	0	0	0	6	3	14	0	0	0	9	0	2	2	1	6	2	0	0	0	0	2	0	0	0	0	45	8	0	0	1	0	1	0	0	5	0	20	5	18	0	0	24	0	69	0	1	10	6	2	1
Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	0	0	0	0	1	0	0	0	0	0	0	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	6	0	1	0	2	0	0	0	0	3	1	0	0	0	0	0	5	2	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	12	0	0	2	0	1	0	1	3	2	0	0
Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	0	0	0	0	3	0	0	0	0	0	0	1	0	8	0	0	0	0	0	1	1	3	5	6	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	3	1	2	0	0	2	0	0	11	0	1	0	2	4	1	0	3	1	0	0	2	0	0	0	11	0	0	0	0	0	0	5	8	6	0	1	0	16	0	0	0	0	1	4	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	33	1	24	0	1	11	0	37	0	0	42	0	0	0
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Ruminococcus2	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2	5	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0	2	0	0	0	0	0	0	0	7	0	1	0	1	0	0	0	29	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	15	4	11	0	0	0	28	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	6	5	0	0	2	0	0	0	0	0	0	6	1	4	0	0	0	0	6	0	0	0	0	0	0
Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	0	0	0	0	0	0	1	0	0	0	0	3	0	3	0	0	0	0	0	0	0	8	2	4	0	0	2	0	0	0	0	0	3	0	0	1	0	0	9	1	0	1	1	0	0	0	2	3	0	6	0	0	0	0	0	0	0	1	1	0	0	0	10	0	1	6	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	4	2	0	0	0	0	0	3	2	6	0	0	0	6	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	6	7	0	0	0	2	0	0	0	0	0	7	2	7	0	0	6	0	4	0	0	2	0	2	0
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Clostridium_III	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	6	0	11	1	0	0	0	0	5	0	3	0	1	0	0	0	0	7	0	3	0	0	0	1	0	0	0	3	0	5	0	0	0	0	2	21	0	0	0	0	0	0	0	8	1	0	0	2	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	5	4	1	6	0	0	1	0	0	0	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	5	0	0	4	1	5	0	16	87	0	0	3
Root;Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Tumebacillus	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	3	1	2	0	0	0	0	0	0	1	0	5	0	0	0	0	0	10	0	0	0	0	0	0	1	0	3	0	2	3	0	0	2	0	0	0	3	0	1	0	0	1	0	0	4	0	0	0	0	1	0	0	10	1	0	0	0	0	0	0	10	0	0	1	0	1	0	1	2	2	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	5	0	8	2	0	3	0	1	0	0	16	0	0	0
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus	0	0	0	0	0	0	0	1	1	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	12	0	2	1	0	0	0	0	9	2	0	0	0	0	0	0	1	0	0	0	4	1	0	4	1	2	1	0	0	8	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	5	22	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Root;Bacteria;Proteobacteria;Gammaproteobacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	26	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	9	0	0	2	0	0	0	0	0	1	0	0
Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	4	0	1	1	0	0	0	0	1	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	1	2	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	5	0	1	0	0	0	1	0	0	0	0	1	4	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	11	1	10	0	0	2	0	0	0
Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Sporobacter	0	0	0	0	3	1	4	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	2	5	0	0	0	3	0	0	0	0	2	1	0	0	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	2	0	0	1	0	0	0
Root;Bacteria;Firmicutes;Bacilli;Lactobacillales	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	2	0	0	0	0	0	0	2	1	2	0	0	1	3	0	0	0	0	4	6	2	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	1	7	0	0	0	0	10	0	8	0	0	4	0	0	0
Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	0	1	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;Bacteria;Proteobacteria	0	0	0	0	0	0	3	0	2	3	2	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	1	0	0	0	4	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	7	0	0	1
